,URL,Nom,Genre,Tete,Coeur,Fond
598,https://www.olfastory.com/parfum/eau-de-rochas-escapade-tropicale,eau-de-rochas-escapade-tropicale,woman,"citron, cassis, neroli","fruits-deau, mangue, cedre","musc, ambroxan, framboise"
599,https://www.olfastory.com/parfum/chant-dextase,chant-dextase,woman,framboise,"rose, jasmin",caramel
600,https://www.olfastory.com/parfum/mr-burberry-indigo,mr-burberry-indigo,man,"citron, romarin","violette, menthe","mousse-de-chene, ambre"
601,https://www.olfastory.com/parfum/eau-de-soleil-blanc,eau-de-soleil-blanc,woman,"bigarade, bergamote, petitgrain, carvi, poivre-rose, pistache, cedrat, neroli","fleur-doranger, jasmin, tubereuse, ylang-ylang","noix-de-coco, ambre, vanille, feve-tonka, benjoin"
602,https://www.olfastory.com/parfum/classique-eau-fraiche-airlines,classique-eau-fraiche-airlines,woman,"citron, sorbet, sucre, gingembre","tiare, fleur-doranger, jasmin","labdanum, vanille, musc"
603,https://www.olfastory.com/parfum/le-male-eau-fraiche-airlines,le-male-eau-fraiche-airlines,man,"aldehydes, neroli, menthe","sauge-sclaree, notes-boisees, ambre","vanille, santal, feve-tonka"
604,https://www.olfastory.com/parfum/1881-essentiel,1881-essentiel,man,"citron, mandarine, bergamote","poivre-rose, armoise, basilic","cedre, vetiver, mousse-de-chene"
605,https://www.olfastory.com/parfum/lady-million-lucky,lady-million-lucky,woman,framboise,"rose, jasmin, noisette","rose, miel, santal, cedre, bois-de-cachemire"
606,https://www.olfastory.com/parfum/1-million-lucky,1-million-lucky,man,"ozone, pruneau, pamplemousse","noisette, cedre, bois-de-cachemire, jasmin, miel","patchouli, mousse-de-chene, vetiver"
607,https://www.olfastory.com/parfum/le-male-eau-fraiche-edition-andre-2018,le-male-eau-fraiche-edition-andre-2018,man,"aldehydes, bergamote, neroli","sauge-sclaree, notes-boisees","vanille, feve-tonka, santal"
608,https://www.olfastory.com/parfum/classique-eau-fraiche-edition-andre-2018,classique-eau-fraiche-edition-andre-2018,woman,"fleur-doranger, tiare","jasmin, ciste","musc, vanille"
609,https://www.olfastory.com/parfum/la-panthere-cartier-toilette,la-panthere-cartier-toilette,woman,gardenia,santal,musc
610,https://www.olfastory.com/parfum/mademoiselle-rochas-0,mademoiselle-rochas-0,woman,"baies-roses, feuille-de-violette, cassis","chevrefeuille, jasmin","cedre, benjoin, muscs-blancs"
611,https://www.olfastory.com/parfum/eau-de-citron-noir,eau-de-citron-noir,mixed,citron,coumarine,mousse-de-chene
612,https://www.olfastory.com/parfum/mon-eau,mon-eau,woman,"framboise, mure, anis","jasmin, iris, camomille-romaine","violette, santal, musc"
613,https://www.olfastory.com/parfum/gucci-bloom-acqua-di-fiori,gucci-bloom-acqua-di-fiori,woman,"galbanum, cassis","tubereuse, jasmin","musc, santal"
614,https://www.olfastory.com/parfum/aqua-allegoria-rossa-rossa,aqua-allegoria-rossa-rossa,woman,"bergamote, litchi, cassis","rose, pivoine",notes-boisees
615,https://www.olfastory.com/parfum/baiser-de-russie,baiser-de-russie,woman,"bergamote, citron, pruneau, absinthe, pin","cranberry, jasmin","caramel, santal, feve-tonka, muscs-blancs, vanille"
616,https://www.olfastory.com/parfum/peng-lai,peng-lai,woman,osmanthus,benjoin,feve-tonka
617,https://www.olfastory.com/parfum/solarissimo-favignana,solarissimo-favignana,man,,,
618,https://www.olfastory.com/parfum/chrome-under-pole,chrome-under-pole,man,bergamote,musc,mate
619,https://www.olfastory.com/parfum/narciso-rouge,narciso-rouge,woman,"iris, rose",musc,"vetiver, feve-tonka, cedre"
620,https://www.olfastory.com/parfum/aqua-allegoria-passiflora,aqua-allegoria-passiflora,woman,"bergamote, fruits-de-la-passion, citron","mandarine, note-marine, pamplemousse","ylang-ylang, fleur-doranger"
